TYPE,POSITIONX,POSITIONY,WIDTH,HEIGHT,SPECIAL,ROTATION
SURFACE,0,0,1480,780,SNOW,0
SURFACE,200,210,233,320,ICE,0
SURFACE,800,40,270,280,ICE,0
SURFACE,800,700,250,100,ICE,0
SURFACE,50,600,1390,130,ASPHALT,0
SURFACE,50,80,130,520,ASPHALT,0
SURFACE,180,80,330,130,ASPHALT,0
SURFACE,510,80,130,490,ASPHALT,0
SURFACE,640,440,640,130,ASPHALT,0
SURFACE,1310,80,130,520,ASPHALT,0
SURFACE,1150,80,130,360,ASPHALT,0
SURFACE,1280,80,30,130,ASPHALT,0
SURFACE,640,450,40,110,FINISHLINE,0
SURFACE,110,46,85,60,SIDE,0
SURFACE,196,46,85,60,SIDE,0
SURFACE,282,46,85,60,SIDE,0
SURFACE,1116,100,85,60,SIDE,90
SURFACE,1116,186,85,60,SIDE,90
SURFACE,1116,272,85,60,SIDE,90
SURFACE,614,120,85,60,SIDE,270
SURFACE,614,206,85,60,SIDE,270
SURFACE,614,292,85,60,SIDE,270
SURFACE,1414,220,85,60,SIDE,270
SURFACE,1414,306,85,60,SIDE,270
SURFACE,1414,392,85,60,SIDE,270
SURFACE,154,260,85,60,SIDE,270
SURFACE,154,346,85,60,SIDE,270
SURFACE,154,432,85,60,SIDE,270
WALL,225,210,141,55,WITH_TIRES,0
WALL,80,730,120,30,NOTHING,0
WALL,1320,730,120,30,NOTHING,0
WALL,510,570,800,30,NOTHING,0
WALL,1280,210,30,360,NOTHING,0
SURFACE,650,600,5,130,CHECKPOINT,0
SURFACE,50,420,130,5,CHECKPOINT,0
SURFACE,510,420,130,5,CHECKPOINT,0
SURFACE,1000,440,5,130,CHECKPOINT,0
SURFACE,1150,420,130,5,CHECKPOINT,0
SURFACE,1310,595,130,5,CHECKPOINT,0
